SP8,51.0373048,-2.2910983
BR1,51.4119969,0.0208833
KY99,56.0529028,-3.4360203
CH60,53.3264900,-3.0960749
BD13,53.7867466,-1.8612838
GL52,51.9190904,-2.0581561
WS2,52.5892854,-2.0043778
NE69,55.6047765,-1.7187958
L30,53.4845057,-2.9725553
PH6,56.3717976,-3.9999352
KT22,51.3015607,-0.3393496
PH42,56.9018804,-6.1427489
ZE1,60.1514981,-1.1705115
SG10,51.8467689,0.0754693
DA3,51.3841204,0.3083751
LL63,53.2184987,-4.4722288
PH20,57.0566670,-4.1475180
CT19,51.0890794,1.1679444
NG13,52.9486758,-0.9073222
NR99,52.6266507,1.3092653
LU7,51.9072379,-0.6629591
AL7,51.7969028,-0.1872378
HP22,51.8076076,-0.7693074
WD6,51.6573773,-0.2756334
PE14,52.6392767,0.2075469
B40,52.4569283,-1.7225262
N22,51.5998948,-0.1102841
BD17,53.8475875,-1.7683640
CO3,51.8844900,0.8563017
IP27,52.4302192,0.5819065
NP22,51.7712366,-3.2581432
SG14,51.8081282,-0.0940096
BT20,54.6585904,-5.6655050
M23,53.3995570,-2.2889120
MK45,52.0216132,-0.4703173
BD5,53.7781758,-1.7591405
CH42,53.3738774,-3.0227343
PA48,55.7384868,-6.3848707
S64,53.4907312,-1.2988429
B20,52.5155040,-1.9192015
LN10,53.1584629,-0.2171187
LL44,52.7909039,-4.0972031
SA41,51.9952157,-4.7058717
TW7,51.4730054,-0.3358063
TN16,51.2930684,0.0517089
CH33,53.2905598,-3.0626386
IV99,57.4813320,-4.2239504
WV98,52.4053675,-2.2199919
BT37,54.6775107,-5.9080795
SW11,51.4681801,-0.1637256
PH18,56.7731976,-3.8901941
SA5,51.6489448,-3.9712026
S13,53.3646431,-1.3836802
NR4,52.6120590,1.2566650
BN27,50.8718389,0.2634568
W8,51.5011337,-0.1943202
HU12,53.7238645,-0.1267684
KY9,56.2091528,-2.8357263
CT50,51.0795333,1.1435601
PO41,50.7009701,-1.4750973
PL30,50.5017989,-4.7283944
SY21,52.6581949,-3.2070323
GU25,51.4011369,-0.5718272
SW1E,51.4979064,-0.1397427
DN38,53.5604981,-0.3911523
SA8,51.7217976,-3.8477059
YO61,54.1179291,-1.1960242
PA5,55.8310416,-4.5097445
EH55,55.8464431,-3.5752962
NR17,52.5153469,0.9944934
SG6,51.9790227,-0.2227304
EX15,50.8776038,-3.3405027
TF9,52.8968634,-2.4700531
IP33,52.2429658,0.7086249
NE13,55.0437667,-1.6474838
SY5,52.6515091,-2.8328135
S95,53.4184381,-1.4036920
YO19,53.9059480,-1.0207826
BT22,54.5017687,-5.5145457
NW8,51.5322682,-0.1745786
SG2,51.8965414,-0.1640911
PO6,50.8465980,-1.0700466
PA43,55.7556052,-6.2841924
LS27,53.7486959,-1.6035106
KA17,55.6106607,-4.2791346
LS10,53.7622905,-1.5325445
LL28,53.2878956,-3.7618075
SG9,51.9507491,-0.0091601
SO31,50.8700098,-1.2998114
LL64,53.2287185,-4.5183068
OL15,53.6448116,-2.0999458
SE23,51.4414858,-0.0491513
WA1,53.3942536,-2.5714198
IV7,57.5832458,-4.3867307
BT45,54.7600743,-6.6390822
ME99,51.2783241,0.5190996
OL9,53.5391534,-2.1442485
PE21,52.9744837,-0.0238791
SP7,51.0050805,-2.1843108
CF83,51.5867146,-3.2188145
PR4,53.7546364,-2.8341777
YO32,54.0124771,-1.0593934
M31,53.4194153,-2.4242176
CT14,51.2167502,1.3854115
TF6,52.7362755,-2.5560077
AL5,51.8153821,-0.3520548
IG7,51.6143123,0.0956944
EX18,50.9020189,-3.8876032
CH62,53.3342830,-2.9815720
HG4,54.1569575,-1.5666498
S44,53.2252186,-1.3139748
PO16,50.8508807,-1.1591621
PO3,50.8162998,-1.0591580
CR5,51.3110960,-0.1414477
N81,51.5663135,-0.0767356
PO40,50.6824755,-1.5218166
KT9,51.3639202,-0.3032309
EX13,50.7871097,-3.0071442
MK4,52.0040459,-0.7842687
PO22,50.8001082,-0.6476773
PL24,50.3552292,-4.7111784
B18,52.4913461,-1.9255863
IV19,57.8039848,-4.0627885
EH34,55.9082618,-2.8808453
BS8,51.4575672,-2.6221985
G46,55.8033439,-4.3078361
SA63,51.8742755,-4.8563094
PR11,53.7945597,-2.6849868
CW98,53.0886586,-2.4311449
NW2,51.5581501,-0.2202562
TN7,51.0960303,0.1026001
G84,56.0141483,-4.7557604
SM3,51.3712541,-0.2162485
RH13,51.0337894,-0.3279851
PL7,50.3927332,-4.0456918
EH27,55.8907993,-3.4163880
BT13,54.6058982,-5.9596444
TD7,55.5365991,-2.8730161
NG2,52.9348691,-1.1344936
LS6,53.8200966,-1.5707608
NG8,52.9649766,-1.2134133
CA8,54.9394064,-2.6864490
RG8,51.5062415,-1.1063426
SK1,53.4075932,-2.1515586
KY7,56.1977936,-3.1580986
GU10,51.1965791,-0.7979139
CH30,53.3789453,-3.0984344
CF39,51.5999318,-3.4255613
WD18,51.6491262,-0.4146492
BD8,53.8017321,-1.7839736
S61,53.4441131,-1.3949172
DG1,55.0735752,-3.5817215
IV16,57.6647729,-4.3379167
GL55,52.0639021,-1.7695409
E1,51.5173859,-0.0595023
CM12,51.6282277,0.4145027
HX6,53.6968778,-1.9274340
M25,53.5283859,-2.2757491
S73,53.5244965,-1.3950715
PE2,52.5584209,-0.2605213
KA11,55.6186396,-4.6276773
SA48,52.1449088,-4.1132500
HP7,51.6644833,-0.6102425
KT14,51.3384121,-0.4882369
NR29,52.6942516,1.6362126
TA6,51.1256664,-3.0008114
CO5,51.8152485,0.8199292
SE11,51.4898569,-0.1115597
CV33,52.2554168,-1.4875182
HP10,51.6083649,-0.6974711
DA5,51.4406947,0.1461798
BA5,51.2125710,-2.6552733
GU30,51.0754992,-0.8042741
W1B,51.5143738,-0.1409766
BB18,53.9145757,-2.1720306
BL0,53.6484286,-2.3169628
CT9,51.3833635,1.3892980
SY7,52.4254259,-2.8867442
PH3,56.3019354,-3.7043969
SO41,50.7554651,-1.5665136
BA20,50.9379840,-2.6452044
B8,52.4911095,-1.8413277
PL12,50.4193974,-4.2502369
SO30,50.9198664,-1.3069752
S74,53.5009685,-1.4411464
B16,52.4771886,-1.9342144
DL16,54.6989434,-1.6056739
TA9,51.2255918,-2.9567138
GU21,51.3210516,-0.5804072
MK16,52.0896113,-0.7217314
SP5,51.0215790,-1.7703510
ML8,55.7314933,-3.8429126
